类别,子类别,英文情景对话,中文翻译
住宿酒店类,客房服务,"Emma: Hello, this is Room 508. The air conditioner isn't working.
Jack: I'm sorry to hear that. We'll send someone to fix it right away.
Emma: Could you also check the light in the bathroom?
Jack: Of course. Is there anything else?
Emma: Could I have an extra towel, please?
Jack: Sure, I'll bring it to your room within ten minutes.
Emma: Thank you. Oh, and the hot water stopped ten minutes ago.
Jack: I'm very sorry. It's a building-wide issue. We're fixing it and expect it back in 20 minutes.
Emma: Also, the room above is very loud. It's almost midnight.
Jack: Let me call them to keep it down. If it continues, we can move you to a quieter room.
Emma: Thank you. Please also bring a new TV remote — the old one isn't working.
Jack: I'll bring it along with the towel. We're sorry for the inconvenience.","艾玛：你好，我是508房间的。空调坏了。
杰克：非常抱歉，我们马上派人去维修。
艾玛：能顺便检查一下卫生间的灯吗？
杰克：当然。还有其他问题吗？
艾玛：能再给我一条毛巾吗？
杰克：好的，十分钟内送到您房间。
艾玛：谢谢。还有，热水十分钟前停了。
杰克：非常抱歉，这是整栋楼的问题。我们正在处理，预计20分钟内恢复。
艾玛：另外，我楼上的房间特别吵，都快半夜了。
杰克：我这就打电话让他们小声点。如果还是不行，我们可以把您换到更安静的房间。
艾玛：谢谢。请顺便送一个新的电视遥控器——旧的坏了。
杰克：我会和毛巾一起给您送一个新的。给您带来不便我们很抱歉。"
住宿酒店类,民宿,"Emma: Hi, I've checked in online. What's the Wi-Fi password?
Jack: Welcome! The Wi-Fi password is on the card by the TV.
Emma: Great. How do I use the washing machine?
Jack: It's in the laundry room. Just add detergent and press start.
Emma: Is there a supermarket nearby?
Jack: Yes, there's one just around the corner, open until 10 p.m.
Emma: Perfect. Is the door code the same as the Wi-Fi password?
Jack: No, the door code is 1234.
Emma: Hi, the Wi-Fi keeps cutting out every few minutes.
Jack: Sorry about that. Let me restart the router remotely. It should be stable now.
Emma: Also, it's freezing in here. The heater doesn't blow warm air.
Jack: Oh, you need to set the mode to ""heat,"" not ""cool."" Try 25 degrees.
Emma: That worked. Thanks for your help!
Jack: You're welcome. Enjoy your stay!","艾玛：你好，我已经在线办理入住。Wi-Fi密码是什么？
杰克：欢迎！Wi-Fi密码在电视旁边的卡片上。
艾玛：好的。洗衣机怎么用？
杰克：洗衣机在洗衣房里，放好洗衣液按下启动键就行。
艾玛：附近有超市吗？
杰克：有，拐角处就有一家，营业到晚上10点。
艾玛：太好了。门锁密码和Wi-Fi密码一样吗？
杰克：不一样，门锁密码是1234。
艾玛：你好，Wi-Fi每隔几分钟就断一次。
杰克：抱歉，我远程重启一下路由器。现在应该稳定了。
艾玛：还有，这里面冷飕飕的，暖气好像不出热风。
杰克：哦，您需要把模式调到""制热""而不是""制冷""。试试25度。
艾玛：好了，谢谢你的帮助！
杰克：不客气，祝您住得愉快！"
日常购物消费类,超市,"Emma: Excuse me, where can I find the dairy products?
Jack: They're at the back of the store, next to the frozen section.
Emma: Thanks. Do you have any discounts today?
Jack: Yes, milk and bread are 20% off today.
Emma: Great. I'd like to pay by card.
Jack: Sure, you can use the self-checkout over there.
Emma: Excuse me, the shelf says this cereal is on sale, but the scanner shows full price.
Jack: Let me check. You're right, the label wasn't updated. I'll adjust the price for you.
Emma: Thank you. Also, do you still have any skim milk? I don't see any.
Jack: Let me check the back storage. I'm sorry, we just sold out. More tomorrow morning.
Emma: Okay, I'll take the whole milk then.
Jack: No problem. Anything else?
Emma: No, that's all. Thanks.","艾玛：请问乳制品在哪里？
杰克：在超市最里面，冷冻区旁边。
艾玛：谢谢。今天有什么折扣吗？
杰克：有的，今天牛奶和面包打八折。
艾玛：太好了。我想刷卡付款。
杰克：好的，您可以用那边的自助收银台。
艾玛：你好，货架上写着这款麦片在打折，但扫码显示的是原价。
杰克：我查一下。您说得对，标签没更新。我按促销价给您结算。
艾玛：谢谢。另外，还有脱脂牛奶吗？我没看到。
杰克：我去后面仓库看看。抱歉，刚卖完，明早补货。
艾玛：好吧，那我拿全脂奶。
杰克：好的。还需要别的吗？
艾玛：不用了，就这些，谢谢。"
日常购物消费类,商场,"Emma: Excuse me, where is the fitting room?
Jack: It's right behind the cashier.
Emma: Do you have this in a larger size?
Jack: Let me check. Yes, we have it in large. Would you like to try it on?
Emma: Yes, please. How much is this?
Jack: It's 299 yuan, but there's a 10% discount this week.
Emma: Can I return this if it doesn't fit?
Jack: Yes, within 7 days with the receipt.
Emma: Hi, I'd like to return this jacket. The zipper broke the first time I wore it.
Jack: I'm sorry to hear that. Do you have the receipt?
Emma: Yes, here it is. It's been five days.
Jack: The return window is 7 days, so you're still within it. Let me process a full refund.
Emma: Thank you. Do you offer gift wrapping?
Jack: Yes, it's free at the customer service counter.
Emma: Great, thanks.","艾玛：请问试衣间在哪里？
杰克：就在收银台后面。
艾玛：这个有大一号的吗？
杰克：我看看。有的，我们有L码，您要试一下吗？
艾玛：好的。这件多少钱？
杰克：299元，这周打九折。
艾玛：如果不合身可以退吗？
杰克：可以，凭小票7天内可退。
艾玛：你好，这件外套我想退。我第一次穿拉链就坏了。
杰克：很抱歉。您带小票了吗？
艾玛：带了，给你。才买了五天。
杰克：退货期是7天，您还在范围内。我给您全额退款。
艾玛：谢谢。你们提供礼品包装吗？
杰克：提供的，在服务台免费包装。
艾玛：太好了，谢谢。"
日常购物消费类,便利店,"Emma: A bottle of water and a pack of tissues, please.
Jack: Sure. That'll be 6.5 yuan.
Emma: Do you sell phone chargers here?
Jack: Yes, we have them by the counter. Which type do you need?
Emma: USB-C, please.
Jack: Here you are. Anything else?
Emma: No, that's all.
Jack: That'll be 46.5 yuan in total.
Emma: Hmm, my card keeps declining. Could you try again?
Jack: Sure. It's still declined. Would you like to pay by cash?
Emma: I don't have enough cash. Wait, let me try mobile payment. There, it went through.
Jack: Perfect. Oh, and this yogurt in your basket expired yesterday.
Emma: Really? Thanks for telling me. I'll put it back.
Jack: No problem. Have a nice day.","艾玛：请给我一瓶水和一包纸巾。
杰克：好的，一共6块5。
艾玛：你们这里卖手机充电器吗？
杰克：卖的，在柜台旁边，您需要哪种接口的？
艾玛：USB-C的。
杰克：给您，还需要别的吗？
艾玛：不用了，就这些。
杰克：一共46块5。
艾玛：咦，我的卡一直刷不过。能再试一次吗？
杰克：好的。还是不行。您能付现金吗？
艾玛：我现金不够。等等，我试试手机支付。好了，付成功了。
杰克：好的。对了，您篮子里这盒酸奶昨天就过期了。
艾玛：真的吗？谢谢你告诉我，我放回去。
杰克：不客气，祝您愉快。"
日常购物消费类,药店,"Emma: Hello, I have a headache. Could I get some painkillers?
Jack: Of course. Do you have any allergies?
Emma: No, I don't. How many times a day should I take this?
Jack: Take one tablet every six hours, after meals.
Emma: Do I need a prescription for this?
Jack: No, this one is over-the-counter.
Emma: Will this medicine make me sleepy?
Jack: It might. Please don't drive after taking it.
Emma: Actually, I also need this cold medicine — do you have it?
Jack: Let me check. I'm sorry, that brand is out of stock today.
Emma: Oh no. Is there an alternative with the same ingredients?
Jack: Yes, this generic brand has the same active ingredient. Would you like it?
Emma: Sure, thanks. How much is everything?
Jack: 15 yuan for the painkillers and 18 for the cold medicine. Get well soon.","艾玛：你好，我头疼，能给我一些止痛药吗？
杰克：当然。您有过敏史吗？
艾玛：没有。这个一天吃几次？
杰克：每六小时吃一片，饭后服用。
艾玛：这个需要处方吗？
杰克：不需要，这是非处方药。
艾玛：这个药会让人犯困吗？
杰克：可能会，服药后请不要开车。
艾玛：其实我还需要这种感冒药——你们有吗？
杰克：我查一下。抱歉，这个牌子今天没货了。
艾玛：哎呀。有成分相同的替代品吗？
杰克：有的，这款仿制药成分一样。您要吗？
艾玛：好的，谢谢。一共多少钱？
杰克：止痛药15元，感冒药18元。早日康复。"
日常购物消费类,集市,"Emma: How much is this?
Jack: It's 50 yuan.
Emma: That's a bit expensive. Could you give me a better price?
Jack: Okay, for you, 40 yuan. That's the best I can do.
Emma: Deal. I'll take two of these.
Jack: Great, that'll be 80 yuan total.
Emma: Could you wrap them separately? They're gifts.
Jack: Of course, no extra charge.
Emma: Wait, this one has a crack on the bottom. Do you have another in better shape?
Jack: Let me see. You're right. Here, this one is perfect.
Emma: Thank you. Also, you said 40 each, but it looks like you charged me 50.
Jack: I'm sorry, I miscalculated. Here's 20 yuan back.
Emma: Thanks. Have a good day.","艾玛：这个怎么卖？
杰克：50元。
艾玛：有点贵，能便宜点吗？
杰克：好吧，给你40元，这已经是最低价了。
艾玛：成交，这两个我都要了。
杰克：好的，一共80元。
艾玛：能分开包装吗？是送人的礼物。
杰克：当然可以，不加钱。
艾玛：等等，这个底部有一道裂纹。还有品相好一点的吗？
杰克：我看看。您说得对。给，这个完好。
艾玛：谢谢。另外，你不是说40元一个吗，好像收了我50。
杰克：抱歉，我算错了，这是找您的20元。
艾玛：谢谢，祝你生意好。"
餐饮美食类,餐厅点餐,"Emma: Hello, a table for two, please.
Jack: Sure. Right this way. Here's the menu.
Emma: Thanks. What do you recommend?
Jack: Our grilled fish is very popular, and today's special is beef noodles.
Emma: I'm allergic to peanuts. Does the grilled fish contain any?
Jack: No, it doesn't. I'll make a note for the kitchen.
Emma: Great.
Jack: Here is your grilled fish and your beef noodles.
Emma: Excuse me, I ordered the grilled fish — this looks like steamed fish.
Jack: I'm so sorry, that's our mistake. I'll bring the right one immediately.
Emma: Thank you.
Jack: Here's the correct order.
Emma: Wait, there's a hair in the soup.
Jack: Oh my goodness, I'm terribly sorry. I'll bring a fresh bowl, on the house.
Emma: Thank you. Please also pack the leftover noodles to go.
Jack: Sure, I'll pack it. Card or cash?
Emma: Card, please.","艾玛：你好，请给我一张两人桌。
杰克：好的，这边请。这是菜单。
艾玛：谢谢。你有什么推荐的？
杰克：我们的烤鱼很受欢迎，今天的主厨推荐是牛肉面。
艾玛：我对花生过敏，烤鱼里有花生吗？
杰克：没有，我会跟厨房说明。
艾玛：太好了。
杰克：这是您的烤鱼和牛肉面。
艾玛：打扰一下，我点的是烤鱼——这看起来是清蒸鱼。
杰克：非常抱歉，是我们搞错了。我马上给您换一份对的。
艾玛：谢谢。
杰克：这是正确的菜。
艾玛：等等，汤里有一根头发。
杰克：哎呀，实在对不起。我马上换一碗新的，这碗我们免单。
艾玛：谢谢。另外把剩下的牛肉面打包。
杰克：好的，我帮您打包。刷卡还是现金？
艾玛：刷卡。"
餐饮美食类,咖啡店,"Emma: Hi, a latte and a croissant, please.
Jack: For here or to go?
Emma: To go, please. Could I get it with oat milk?
Jack: Sure, oat milk is an extra 5 yuan. Anything else?
Emma: No, that's all. How much is it?
Jack: That'll be 38 yuan.
Emma: Actually, I'd like to add a piece of cake.
Jack: Sure. Chocolate or cheese?
Emma: Chocolate, please.
Jack: Sorry, we just ran out of oat milk. Would soy milk be okay?
Emma: Hmm, I'm allergic to soy. Could I just have regular milk then?
Jack: Of course. No extra charge this time.
Emma: Thank you. Oh wait, this is a cappuccino, not a latte.
Jack: Let me remake it right away. Sorry about that.
Emma: No worries. Thanks.","艾玛：你好，请给我一杯拿铁和一个可颂。
杰克：堂食还是带走？
艾玛：带走。能换成燕麦奶吗？
杰克：可以，燕麦奶加5元。还需要别的吗？
艾玛：不用了。多少钱？
杰克：一共38元。
艾玛：对了，我想再加一块蛋糕。
杰克：好的，巧克力还是芝士的？
艾玛：巧克力的。
杰克：抱歉，燕麦奶刚用完。豆奶可以吗？
艾玛：嗯，我对大豆过敏。那就普通牛奶吧。
杰克：好的，这次不加钱。
艾玛：谢谢。等等，这是卡布奇诺，不是拿铁。
杰克：我马上给您重做一杯，抱歉。
艾玛：没关系，谢谢。"
餐饮美食类,快餐,"Emma: I'd like a cheeseburger and a large fries, please.
Jack: Sure. Would you like anything to drink?
Emma: A cola, please.
Jack: For here or takeaway?
Emma: Takeaway, please.
Jack: That'll be 45 yuan. Please wait about three minutes.
Emma: Could I get some extra ketchup?
Jack: Sure, it's free at the condiment station.
Emma: Excuse me, my order has been ""almost ready"" for 15 minutes.
Jack: I'm very sorry, we're short-staffed. Let me check. It should be out in a minute.
Emma: Thank you.
Jack: Here's your order.
Emma: Wait, I asked for a large fries — this is a small.
Jack: I'm sorry, let me swap it for a large. Here's a free apple pie as an apology.
Emma: Thank you, that's kind.","艾玛：我要一个芝士汉堡和大份薯条。
杰克：好的。您想喝点什么吗？
艾玛：一杯可乐。
杰克：堂食还是带走？
艾玛：带走。
杰克：一共45元，请稍等大约三分钟。
艾玛：能多给我一些番茄酱吗？
杰克：好的，调料台有免费的。
艾玛：你好，我的订单已经""快好了""等了15分钟了。
杰克：非常抱歉，我们现在人手不够。我查一下，马上就好。
艾玛：谢谢。
杰克：这是您的餐。
艾玛：等等，我要的是大份薯条——这是小份。
杰克：抱歉，我马上换大份。这是一份免费苹果派，算我们赔礼。
艾玛：谢谢，你们真好。"
